,Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training,HRMS_CE,Converted_CE
206,Mannitol,181.0717608,5.56,5.97,138.6,-1,4,0,80.0,38.91549573145904
207,N-Acetyl-GN1P,300.0489916,6.59,7.07,79.1,-1,28,0,70.0,36.88821814405552
209,N-Acety-MN6P,300.0490240000001,6.59,7.07,97.0,-1,20,0,20.0,13.243922524549964
210,N-Acety-MN6P,300.0490240000001,6.59,7.07,175.6,-1,20,0,50.0,27.430500337671774
211,NANA,308.098704,5.17,5.65,87.1,-1,8,0,20.0,13.42670428792531
212,NANA,308.098704,5.17,5.65,170.1,-1,8,0,20.0,13.42670428792531
213,NANA,308.098704,5.17,5.65,98.1,-1,20,0,40.0,22.884422830006514
215,NAD,662.101844,6.12,6.54,540.0,-1,8,0,10.0,16.736092272627808
217,PEP,166.9750984,8.44,8.78,79.0,-1,8,0,20.0,10.222251255574317
219,R5P,229.0118778,7.05,7.54,167.9,-1,20,0,70.0,35.275198878015225
220,Selenomethionine,195.9882208,4.22,4.73,95.0,-1,8,0,20.0,10.8810438626465
223,Succinate,117.019334,6.59,7.01,73.1,-1,8,0,20.0,9.087920113492217
225,Trehalose,341.108944,6.96,7.35,89.0,-1,16,0,25.0,16.54068792765987
226,Trehalose,341.108944,6.96,7.35,119.0,-1,16,0,25.0,16.54068792765987
227,Trehalose,341.108944,6.96,7.35,179.0,-1,8,0,20.0,14.17625829213957
228,Tryptophan,203.0826016,4.5,5.02,116.0,-1,12,0,30.0,15.770993193500688
229,Tryptophan,203.0826016,4.5,5.02,142.1,-1,12,0,30.0,15.770993193500688
230,Tryptophan,203.0826016,4.5,5.02,74.2,-1,12,0,25.0,13.406563557980386
231,Tryptophan,203.0826016,4.5,5.02,159.0,-1,4,0,20.0,11.042133922460083
233,Uridine,243.062264,2.81,3.67,111.0,-1,4,0,10.0,7.221081321078781
235,UDP-N-acetyl-GN,606.0742935,6.9,7.34,384.9,-1,28,0,30.0,24.92160937589513
236,UDP-N-acetyl-GN,606.0742935,6.9,7.34,282.0,-1,32,0,30.0,24.92160937589513
237,AKG,145.014244,6.84,7.28,101.1,-1,4,0,10.0,4.994733194064866
238,AKG,145.014244,6.84,7.28,57.2,-1,8,0,20.0,9.723592465105469
239,Glutamate,148.060436,6.16,6.54,84.2,1,16,0,30.0,14.521620739800865
240,Glutamate,148.060436,6.16,6.54,56.2,1,28,0,60.0,28.708198552922674
241,Glutamate,148.060436,6.16,6.54,130.0,1,8,0,10.0,5.0639021977196546
242,Glutamate,148.060436,6.16,6.54,102.1,1,8,0,10.0,5.0639021977196546
243,Aspartate,134.04478600000002,6.45,6.95,74.2,1,12,0,20.0,9.474512144333486
244,Aspartate,134.04478600000002,6.45,6.95,88.1,1,8,0,10.0,4.745652873292881
245,Aspartate,134.04478600000002,6.45,6.95,116.0,1,4,0,10.0,4.745652873292881
247,Methionine,150.058326,4.3,4.84,56.2,1,16,0,30.0,14.566986252123089
248,Methionine,150.058326,4.3,4.84,61.2,1,24,0,40.0,19.295845523163692
249,Methionine,150.058326,4.3,4.84,133.0,1,4,0,10.0,5.109267710041879
250,Methionine,150.058326,4.3,4.84,104.1,1,8,0,10.0,5.109267710041879
251,Serine,106.0498724,6.69,7.08,60.2,1,8,0,20.0,8.838839710976073
253,Serine,106.0498724,6.69,7.08,88.2,1,8,0,10.0,4.109980439935468
254,Serine,106.0498724,6.69,7.08,70.2,1,12,0,25.0,11.203269346496375
255,Glycine,76.03930600000002,6.69,7.09,63.7,1,4,0,35.0,15.250687337078007
256,Threonine,120.065516,5.82,6.24,61.3,1,8,0,30.0,13.885948161120494
257,Threonine,120.065516,5.82,6.24,60.2,1,8,0,20.0,9.157088890079889
258,Threonine,120.065516,5.82,6.24,74.2,1,8,0,20.0,9.157088890079889
259,Threonine,120.065516,5.82,6.24,56.2,1,16,0,30.0,13.885948161120494
260,Proline,116.070606,4.95,5.41,70.2,1,16,0,40.0,18.52409616235586
262,Proline,116.070606,4.95,5.41,84.0,1,8,0,40.0,18.52409616235586
263,Valine,118.086256,4.79,5.17,72.2,1,8,0,20.0,9.112146403797416
264,Valine,118.086256,4.79,5.17,55.2,1,20,0,40.0,18.569864945878624
265,Valine,118.086256,4.79,5.17,57.2,1,32,0,60.0,28.027583487959834
266,Valine,118.086256,4.79,5.17,56.2,1,40,0,80.0,37.48530203004104
267,Isoleucine,132.101906,4.24,4.72,86.2,1,8,0,25.0,11.794825363744492
269,Isoleucine,132.101906,4.24,4.72,69.2,1,16,0,35.0,16.523684634785095
271,Leucine,132.101906,3.87,4.23,86.2,1,8,0,20.0,9.43039572822419
275,Phenylalanine,166.086256,3.22,3.98,120.1,1,8,1,20.0,10.202068567413448
276,Phenylalanine,166.086256,3.22,3.98,103.1,1,28,1,50.0,24.38864638053526
277,Phenylalanine,166.086256,3.22,3.98,77.2,1,40,1,80.0,38.57522419365707
278,Phenylalanine,166.086256,3.22,3.98,91.1,1,40,1,70.0,33.846364922616466
279,Histidine,156.07675600000005,7.42,9.15,110.1,1,12,0,20.0,9.974785736231894
280,Histidine,156.07675600000005,7.42,9.15,83.2,1,28,0,50.0,24.161363549353705
281,Histidine,156.07675600000005,7.42,9.15,93.1,1,24,0,50.0,24.161363549353705
282,Histidine,156.07675600000005,7.42,9.15,56.2,1,40,0,70.0,33.61908209143491
283,Arginine,175.118956,11.5,12.2,70.2,1,24,0,40.0,19.864890024646627
284,Arginine,175.118956,11.5,12.2,60.2,1,12,0,20.0,10.407171482565419
285,Arginine,175.118956,11.5,12.2,116.1,1,12,0,20.0,10.407171482565419
286,Arginine,175.118956,11.5,12.2,130.1,1,12,0,20.0,10.407171482565419
287,Lysine,147.112806,11.13,12.0,84.2,1,16,0,30.0,14.50010317855279
288,Lysine,147.112806,11.13,12.0,130.1,1,4,0,10.0,5.042384636471581
289,Lysine,147.112806,11.13,12.0,56.2,1,36,0,60.0,28.686680991674603
290,Lysine,147.112806,11.13,12.0,67.2,1,28,0,50.0,23.957821720633998
291,Cysteine,122.027026,6.99,7.43,59.2,1,24,0,40.0,18.65934687431015
292,Cysteine,122.027026,6.99,7.43,76.2,1,12,0,25.0,11.566057967749243
294,Cysteine,122.027026,6.99,7.43,105.1,1,8,0,70.0,32.84592468743196
