,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
103,Homocystine,7.06,7.53,269.06245,1,134.03,20.0,100374.78079801294
104,Homocystine,7.06,7.53,269.06245,1,56.05,60.0,34843.94915615785
105,Isoleucine,4.24,4.72,132.10193,1,86.1,25.0,1731851.3895453354
106,Isoleucine,4.24,4.72,132.10193,1,69.07,35.0,414899.20077767933
107,Isoleucine,4.24,4.72,132.10193,1,56.05,80.0,131031.30982836135
108,Isoleucine,4.24,4.72,132.10193,1,57.06,60.0,103289.5346725053
109,Isoleucine,4.24,4.72,132.10193,1,58.06,40.0,26966.510333977963
110,Leucine,3.87,4.23,132.10193,1,86.1,20.0,3542163.7172177127
111,Leucine,3.87,4.23,132.10193,1,69.07,30.0,126236.97284033259
112,Leucine,3.87,4.23,132.10193,1,86.11,20.0,52069.29340420448
113,Leucine,3.87,4.23,132.10193,1,55.05,60.0,14328.892463244732
114,Leucine,3.87,4.23,132.10193,1,55.02,60.0,9564.420068132338
115,Methionine,4.3,4.84,150.05835,1,56.05,30.0,995019.3882393538
116,Methionine,4.3,4.84,150.05835,1,61.01,40.0,938554.8991427193
117,Methionine,4.3,4.84,150.05835,1,104.05,10.0,813639.6858134385
118,Methionine,4.3,4.84,150.05835,1,133.03,10.0,779557.7030389104
119,Methionine,4.3,4.84,150.05835,1,122.06,30.0,292439.5507303011
120,N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1,284.05,10.0,29652.564545409427
121,N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1,126.05,40.0,17394.85345575411
122,N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1,206.02,30.0,14209.136611573795
123,N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1,168.07,25.0,12350.002329252646
124,N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1,204.09,10.0,11146.031765235244
125,N-Acetyl-MN,4.5,5.17,222.09724,1,138.05,20.0,61167.43488450086
126,N-Acetyl-MN,4.5,5.17,222.09724,1,126.05,20.0,56185.76749497728
127,N-Acetyl-MN,4.5,5.17,222.09724,1,204.09,10.0,54841.27442943009
128,N-Acetyl-MN,4.5,5.17,222.09724,1,84.04,40.0,40842.21540093388
129,N-Acetyl-MN,4.5,5.17,222.09724,1,186.08,10.0,33570.26795100165
130,N-Acety-MN6P,6.59,7.07,302.0636,1,284.05,10.0,29652.564545409427
131,N-Acety-MN6P,6.59,7.07,302.0636,1,126.05,40.0,17394.85345575411
132,N-Acety-MN6P,6.59,7.07,302.0636,1,206.02,30.0,14209.136611573795
133,N-Acety-MN6P,6.59,7.07,302.0636,1,168.07,25.0,12350.002329252646
134,N-Acety-MN6P,6.59,7.07,302.0636,1,204.09,10.0,11146.031765235244
135,NANA,5.17,5.65,310.11328,1,274.09,10.0,387614.5657021027
136,NANA,5.17,5.65,310.11328,1,292.1,10.0,191796.26989126182
137,NANA,5.17,5.65,310.11328,1,121.03,40.0,93347.36451965626
138,NANA,5.17,5.65,310.11328,1,167.03,20.0,78787.00069184862
139,NANA,5.17,5.65,310.11328,1,197.04,25.0,52203.42009948482
140,Phenylalanine,3.22,3.98,166.08628000000004,1,120.08,20.0,7453171.028323172
141,Phenylalanine,3.22,3.98,166.08628000000004,1,103.05,50.0,3203612.7934995764
142,Phenylalanine,3.22,3.98,166.08628000000004,1,95.05,70.0,2284910.6045127492
143,Phenylalanine,3.22,3.98,166.08628000000004,1,77.04,80.0,1684982.6820648538
144,Phenylalanine,3.22,3.98,166.08628000000004,1,91.05,70.0,807396.7070636125
145,Proline,4.95,5.41,116.07063,1,70.06,40.0,5617403.087044811
146,Proline,4.95,5.41,116.07063,1,70.07,30.0,207106.68227344306
147,Proline,4.95,5.41,116.07063,1,68.05,70.0,116250.22928449919
148,Proline,4.95,5.41,116.07063,1,53.04,80.0,23714.085967677023
149,Proline,4.95,5.41,116.07063,1,70.08,30.0,20157.797427765378
150,S-Adenosylmethionine,7.54,7.94,399.14454,1,250.09,20.0,4026655.4351257174
151,S-Adenosylmethionine,7.54,7.94,399.14454,1,136.06,40.0,2029618.7527535676
152,S-Adenosylmethionine,7.54,7.94,399.14454,1,97.03,50.0,1974379.8234112784
153,S-Adenosylmethionine,7.54,7.94,399.14454,1,298.1,10.0,1019558.8823034187
154,S-Adenosylmethionine,7.54,7.94,399.14454,1,102.05,30.0,847038.3964520344
155,Selenomethionine,4.22,4.73,198.0027964,1,180.98,10.0,1403439.226653488
156,Selenomethionine,4.22,4.73,198.0027964,1,56.05,40.0,873864.7389487906
157,Selenomethionine,4.22,4.73,198.0027964,1,108.95,40.0,725277.313549514
158,Selenomethionine,4.22,4.73,198.0027964,1,152.0,10.0,424402.9149230659
159,Selenomethionine,4.22,4.73,198.0027964,1,82.94,80.0,252451.97847609504
160,Serine,6.69,7.08,106.0498964,1,60.04,20.0,158049.02157063104
161,Serine,6.69,7.08,106.0498964,1,88.04,10.0,29601.775396530473
162,Serine,6.69,7.08,106.0498964,1,64.93,35.0,19483.823339004357
163,Serine,6.69,7.08,106.0498964,1,70.06,25.0,4880.2060111352675
164,Serine,6.69,7.08,106.0498964,1,88.08,20.0,4301.247137766676
165,Serotonine,11.96,15.04,177.102263,1,158.96,30.0,1443612.6668125612
166,Serotonine,11.96,15.04,177.102263,1,98.98,70.0,553787.7029083867
167,Serotonine,11.96,15.04,177.102263,1,64.98,60.0,303842.25311234884
168,Serotonine,11.96,15.04,177.102263,1,160.08,20.0,259964.9602696451
169,Serotonine,11.96,15.04,177.102263,1,51.0,70.0,225942.25168186807
170,Succinyl-CoA,7.95,8.26,868.1385524,1,361.14,25.0,68532.07832935899
171,Succinyl-CoA,7.95,8.26,868.1385524,1,428.04,20.0,19842.633058172265
172,Succinyl-CoA,7.95,8.26,868.1385524,1,259.07,25.0,12317.534078289811
173,Succinyl-CoA,7.95,8.26,868.1385524,1,173.47,35.0,11768.27970682694
174,Succinyl-CoA,7.95,8.26,868.1385524,1,136.06,35.0,11417.116688260781
175,Threonine,5.82,6.24,120.06553999999998,1,74.06,20.0,557333.8282653455
176,Threonine,5.82,6.24,120.06553999999998,1,56.05,30.0,454834.67749781755
177,Threonine,5.82,6.24,120.06553999999998,1,102.05,10.0,239130.78888514504
178,Threonine,5.82,6.24,120.06553999999998,1,57.03,40.0,43806.79254494157
179,Threonine,5.82,6.24,120.06553999999998,1,84.04,20.0,19762.069295905025
180,Tryptophan,4.5,5.02,205.0971776,1,188.07,10.0,1197791.6868296391
181,Tryptophan,4.5,5.02,205.0971776,1,146.06,30.0,712803.2881827162
182,Tryptophan,4.5,5.02,205.0971776,1,118.06,50.0,564094.0123949295
183,Tryptophan,4.5,5.02,205.0971776,1,91.05,80.0,304853.18362839206
184,Tryptophan,4.5,5.02,205.0971776,1,115.05,80.0,250977.1055960538
185,UDP-N-acetyl-GN,6.9,7.34,608.0888695,1,204.09,10.0,446520.44816256635
186,UDP-N-acetyl-GN,6.9,7.34,608.0888695,1,138.05,40.0,220903.3807075541
187,UDP-N-acetyl-GN,6.9,7.34,608.0888695,1,186.08,25.0,98932.93920800228
188,UDP-N-acetyl-GN,6.9,7.34,608.0888695,1,168.07,30.0,74977.75210212513
189,UDP-N-acetyl-GN,6.9,7.34,608.0888695,1,144.07,50.0,65366.859080663715
190,Valine,4.79,5.17,118.08628,1,72.08,20.0,1307095.6163889267
191,Valine,4.79,5.17,118.08628,1,55.05,40.0,493058.48715362855
192,Valine,4.79,5.17,118.08628,1,57.06,60.0,154463.85323768386
193,Valine,4.79,5.17,118.08628,1,56.05,80.0,93455.45045542969
194,Valine,4.79,5.17,118.08628,1,72.09,25.0,33195.84447875053
195,6-PGA,8.53,8.92,275.0173364,-1,78.96,70.0,383732.0814393688
196,6-PGA,8.53,8.92,275.0173364,-1,226.86,30.0,129410.35659086621
197,6-PGA,8.53,8.92,275.0173364,-1,244.87,30.0,126528.358162053
198,6-PGA,8.53,8.92,275.0173364,-1,96.97,20.0,120200.56995463918
199,6-PGA,8.53,8.92,275.0173364,-1,256.87,10.0,71875.01925910127
200,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,766.11,20.0,725248.4173280023
201,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,408.01,30.0,335391.90568105964
202,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,158.93,50.0,246120.8139892718
203,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,419.04,30.0,242976.50737297168
204,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,426.02,30.0,202242.08540272893
205,Acetyl-CoA,6.02,6.43,808.11847,-1,408.01,30.0,323925.6547758618
206,Acetyl-CoA,6.02,6.43,808.11847,-1,158.93,50.0,227005.87287697938
207,Acetyl-CoA,6.02,6.43,808.11847,-1,461.06,30.0,213166.48471845328
208,Acetyl-CoA,6.02,6.43,808.11847,-1,426.02,25.0,212484.6930069033
209,Acetyl-CoA,6.02,6.43,808.11847,-1,728.15,30.0,155572.80320847026
210,Adenine,2.18,3.22,134.0472,-1,107.04,30.0,1437174.225417874
211,Adenine,2.18,3.22,134.0472,-1,92.03,40.0,494611.6145551989
212,Adenine,2.18,3.22,134.0472,-1,65.01,60.0,321874.93607302546
213,Adenine,2.18,3.22,134.0472,-1,64.01,80.0,111060.66147904347
214,Adenine,2.18,3.22,134.0472,-1,68.03,50.0,76328.20699855789
215,ADP,6.96,7.77,426.02211,-1,78.96,70.0,470383.6573357908
216,ADP,6.96,7.77,426.02211,-1,158.93,35.0,195761.12528778604
217,ADP,6.96,7.77,426.02211,-1,134.05,25.0,142555.6499479178
218,ADP,6.96,7.77,426.02211,-1,328.05,20.0,115533.34688264996
219,ADP,6.96,7.77,426.02211,-1,408.01,25.0,70101.15709070444
220,AKG,6.84,7.28,145.01422,-1,101.02,10.0,323059.9639646721
221,AKG,6.84,7.28,145.01422,-1,57.03,20.0,59767.83270656822
222,AKG,6.84,7.28,145.01422,-1,73.03,30.0,9986.666350144182
223,AKG,6.84,7.28,145.01422,-1,100.93,20.0,7091.931165177289
224,AKG,6.84,7.28,145.01422,-1,101.04,10.0,5508.496067069117
225,Asparagine,6.4,6.86,131.04619,-1,113.04,10.0,86937.3758384298
226,Asparagine,6.4,6.86,131.04619,-1,114.02,20.0,67519.17590420508
227,Asparagine,6.4,6.86,131.04619,-1,70.03,20.0,32880.79036348094
228,Asparagine,6.4,6.86,131.04619,-1,72.01,30.0,13337.338381277475
229,Asparagine,6.4,6.86,131.04619,-1,95.02,20.0,12526.660398662958
230,Aspartate,6.45,6.95,132.03021,-1,88.04,20.0,299359.4053837016
231,Aspartate,6.45,6.95,132.03021,-1,115.0,20.0,78418.12093454573
232,Aspartate,6.45,6.95,132.03021,-1,71.01,30.0,55289.683132509526
233,Aspartate,6.45,6.95,132.03021,-1,114.02,10.0,19550.807665896344
234,Aspartate,6.45,6.95,132.03021,-1,72.01,30.0,9781.994890040569
235,ATP,7.98,8.51,505.98845,-1,158.93,40.0,344782.1860875688
236,ATP,7.98,8.51,505.98845,-1,78.96,80.0,295788.5827631836
237,ATP,7.98,8.51,505.98845,-1,408.01,25.0,146089.2572109847
238,ATP,7.98,8.51,505.98845,-1,426.02,30.0,53793.78740759802
239,ATP,7.98,8.51,505.98845,-1,176.94,30.0,52977.325883073165
240,Chelidamate,6.46,6.95,182.0095,-1,94.03,30.0,535880.0364251274
241,Chelidamate,6.46,6.95,182.0095,-1,138.02,20.0,480864.3283002792
242,Chelidamate,6.46,6.95,182.0095,-1,68.01,60.0,51711.57845042043
243,Chelidamate,6.46,6.95,182.0095,-1,66.03,50.0,38219.54378229203
244,Chelidamate,6.46,6.95,182.0095,-1,66.0,80.0,34380.352671785666
245,cis-Aconitate,8.05,9.74,173.00914,-1,85.03,20.0,1032616.8524717807
246,cis-Aconitate,8.05,9.74,173.00914,-1,129.02,10.0,684337.932387102
247,cis-Aconitate,8.05,9.74,173.00914,-1,111.01,10.0,262355.0587716542
248,cis-Aconitate,8.05,9.74,173.00914,-1,154.95,20.0,135637.26790197394
249,cis-Aconitate,8.05,9.74,173.00914,-1,76.97,80.0,66896.32441907423
250,Citrate,8.85,9.32,191.0197,-1,111.01,20.0,1116397.9392170901
251,Citrate,8.85,9.32,191.0197,-1,173.01,10.0,763275.7355428142
252,Citrate,8.85,9.32,191.0197,-1,85.03,25.0,437221.00435778534
253,Citrate,8.85,9.32,191.0197,-1,73.03,40.0,367005.4946712329
254,Citrate,8.85,9.32,191.0197,-1,117.02,20.0,248075.56160452205
255,CMP-sialic-acid,7.0,7.4,613.1399675,-1,322.04,20.0,1174836.819193824
256,CMP-sialic-acid,7.0,7.4,613.1399675,-1,78.96,80.0,568267.8186867015
257,CMP-sialic-acid,7.0,7.4,613.1399675,-1,96.97,50.0,246270.0799587663
258,CMP-sialic-acid,7.0,7.4,613.1399675,-1,138.98,50.0,45852.920331494046
259,CMP-sialic-acid,7.0,7.4,613.1399675,-1,211.0,35.0,34692.443560091255
260,cGMP,5.17,5.58,344.04013,-1,150.04,35.0,1049412.536774203
261,cGMP,5.17,5.58,344.04013,-1,133.02,60.0,649576.5514675602
262,cGMP,5.17,5.58,344.04013,-1,78.96,80.0,582065.6051642406
263,cGMP,5.17,5.58,344.04013,-1,66.01,80.0,126493.21504021957
264,cGMP,5.17,5.58,344.04013,-1,108.02,60.0,95626.75747880603
265,DHAP,6.65,7.23,168.9907,-1,78.96,60.0,64541.468532116705
266,DHAP,6.65,7.23,168.9907,-1,96.97,10.0,53395.53359670411
267,DHAP,6.65,7.23,168.9907,-1,150.98,10.0,4885.456510875998
268,DHAP,6.65,7.23,168.9907,-1,96.96,25.0,2074.8387926021883
269,DHAP,6.65,7.23,168.9907,-1,123.01,20.0,1948.272821562756
270,FBP,8.9,9.33,338.98875,-1,78.96,80.0,178556.12979867254
271,FBP,8.9,9.33,338.98875,-1,96.97,30.0,148365.00196609576
272,FBP,8.9,9.33,338.98875,-1,241.01,20.0,36709.17920283535
273,FBP,8.9,9.33,338.98875,-1,176.94,20.0,15975.156833457757
274,FBP,8.9,9.33,338.98875,-1,158.93,40.0,14226.876766457734
275,F6P,7.21,8.25,259.02242,-1,78.96,80.0,883636.0378696372
276,F6P,7.21,8.25,259.02242,-1,96.97,20.0,588143.5609018552
277,F6P,7.21,8.25,259.02242,-1,138.98,20.0,78133.82429633134
278,F6P,7.21,8.25,259.02242,-1,241.01,20.0,54311.221754268416
279,F6P,7.21,8.25,259.02242,-1,168.99,10.0,53803.96532418374
280,G1P,7.31,8.17,259.02242,-1,78.96,80.0,880050.0752200391
281,G1P,7.31,8.17,259.02242,-1,96.97,20.0,585756.7627727517
282,G1P,7.31,8.17,259.02242,-1,138.98,20.0,77816.74241692724
283,G1P,7.31,8.17,259.02242,-1,241.01,20.0,54090.81651464693
284,G1P,7.31,8.17,259.02242,-1,168.99,10.0,53585.618627371834
285,GN6P,7.48,8.03,258.0384,-1,78.96,80.0,343712.7634740714
286,GN6P,7.48,8.03,258.0384,-1,96.97,30.0,265492.35243451735
287,GN6P,7.48,8.03,258.0384,-1,199.0,10.0,67850.76350155831
288,GN6P,7.48,8.03,258.0384,-1,240.03,10.0,43820.16380557202
289,GN6P,7.48,8.03,258.0384,-1,138.98,30.0,19867.536125692583
290,G6P,7.28,8.25,259.02242,-1,78.96,80.0,883642.2764958241
291,G6P,7.28,8.25,259.02242,-1,96.97,20.0,588147.7132990679
292,G6P,7.28,8.25,259.02242,-1,138.98,20.0,78134.37593490361
293,G6P,7.28,8.25,259.02242,-1,241.01,20.0,54311.605201067505
294,G6P,7.28,8.25,259.02242,-1,168.99,10.0,53804.34518966302
295,G3P,6.8,7.81,168.9907245,-1,78.96,60.0,82422.21237270223
296,G3P,6.8,7.81,168.9907245,-1,96.97,10.0,68188.37733249465
297,G3P,6.8,7.81,168.9907245,-1,150.98,10.0,6238.93665940756
298,G3P,6.8,7.81,168.9907245,-1,96.96,25.0,2649.65777030438
299,G3P,6.8,7.81,168.9907245,-1,123.01,20.0,2488.027618691416
300,Hydroxyglutarate,6.75,7.16,147.0298734,-1,129.02,10.0,474548.5887544833
301,Hydroxyglutarate,6.75,7.16,147.0298734,-1,57.03,35.0,190415.24604022584
302,Hydroxyglutarate,6.75,7.16,147.0298734,-1,85.03,25.0,165392.1954635791
303,Hydroxyglutarate,6.75,7.16,147.0298734,-1,101.02,25.0,113139.1730034809
304,Hydroxyglutarate,6.75,7.16,147.0298734,-1,103.04,20.0,112401.07431520436
305,Isocitrate,8.48,9.76,191.0197,-1,111.01,20.0,2116973.7411451386
306,Isocitrate,8.48,9.76,191.0197,-1,173.01,10.0,849212.9394545176
307,Isocitrate,8.48,9.76,191.0197,-1,85.03,25.0,742147.1550245233
308,Isocitrate,8.48,9.76,191.0197,-1,87.01,30.0,650033.9591543406
309,Isocitrate,8.48,9.76,191.0197,-1,73.03,40.0,363575.18080988876
310,Lactate,1.49,2.51,89.0244,-1,71.01,20.0,8901.476582149473
311,Lactate,1.49,2.51,89.0244,-1,60.99,10.0,880.5153232086471
312,Lactate,1.49,2.51,89.0244,-1,59.92,35.0,623.8854871184797
313,Lactate,1.49,2.51,89.0244,-1,53.22,50.0,610.5117211646714
314,Lactate,1.49,2.51,89.0244,-1,54.76,40.0,594.1799976423825
315,Malate,7.19,7.76,133.01422,-1,115.0,20.0,1083411.8952792485
316,Malate,7.19,7.76,133.01422,-1,71.01,30.0,825977.3389810859
317,Malate,7.19,7.76,133.01422,-1,72.99,30.0,243243.31051938457
318,Malate,7.19,7.76,133.01422,-1,89.02,20.0,88617.22042008078
319,Malate,7.19,7.76,133.01422,-1,59.01,40.0,36029.98905901222
320,Mannitol,5.56,5.97,181.0717364,-1,59.01,40.0,198117.11105807143
321,Mannitol,5.56,5.97,181.0717364,-1,71.01,30.0,191487.80778649478
322,Mannitol,5.56,5.97,181.0717364,-1,101.02,20.0,164589.11757530738
323,Mannitol,5.56,5.97,181.0717364,-1,89.02,20.0,141516.85733449808
324,Mannitol,5.56,5.97,181.0717364,-1,163.06,10.0,48903.24900832218
325,Oxamate,4.07,4.54,88.00399999999998,-1,60.01,10.0,3565.510660440262
326,Oxamate,4.07,4.54,88.00399999999998,-1,64.63,20.0,440.0443317508723
327,Oxamate,4.07,4.54,88.00399999999998,-1,66.3,40.0,427.1654800535823
328,Oxamate,4.07,4.54,88.00399999999998,-1,56.03,20.0,426.0533942779178
329,Oxamate,4.07,4.54,88.00399999999998,-1,64.78,25.0,425.46752305821
330,PEP,8.44,8.78,166.97507439999995,-1,78.96,20.0,168074.32949755355
331,PEP,8.44,8.78,166.97507439999995,-1,62.96,80.0,4296.495457283476
332,PEP,8.44,8.78,166.97507439999995,-1,78.97,20.0,3078.211068503957
333,PEP,8.44,8.78,166.97507439999995,-1,79.96,60.0,2343.2399092786213
334,PEP,8.44,8.78,166.97507439999995,-1,94.98,20.0,1214.1765275114767
335,Pyruvate,6.47,8.31,87.00874,-1,67.78,70.0,758.2736950768247
336,Pyruvate,6.47,8.31,87.00874,-1,50.27,35.0,757.3502484399874
337,Pyruvate,6.47,8.31,87.00874,-1,51.5,60.0,754.5420425823777
