Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training
Uridine,243.062264,2.81,3.67,111,-1,4,0
Uridine,243.062264,2.81,3.67,42.2,-1,36,0
UDP-N-acetyl-GN,606.0742935,6.9,7.34,384.9,-1,28,0
UDP-N-acetyl-GN,606.0742935,6.9,7.34,282,-1,32,0
AKG,145.014244,6.84,7.28,101.1,-1,4,0
AKG,145.014244,6.84,7.28,57.2,-1,8,0
Glutamate,148.060436,6.16,6.54,84.2,1,16,0
Glutamate,148.060436,6.16,6.54,56.2,1,28,0
Glutamate,148.060436,6.16,6.54,130,1,8,0
Glutamate,148.060436,6.16,6.54,102.1,1,8,0
Aspartate,134.044786,6.45,6.95,74.2,1,12,0
Aspartate,134.044786,6.45,6.95,88.1,1,8,0
Aspartate,134.044786,6.45,6.95,116,1,4,0
Alanine,90.054956,6.07,6.5,44.3,1,8,0
Methionine,150.058326,4.3,4.84,56.2,1,16,0
Methionine,150.058326,4.3,4.84,61.2,1,24,0
Methionine,150.058326,4.3,4.84,133,1,4,0
Methionine,150.058326,4.3,4.84,104.1,1,8,0
Serine,106.0498724,6.69,7.08,60.2,1,8,0
Serine,106.0498724,6.69,7.08,42.2,1,20,0
Serine,106.0498724,6.69,7.08,88.2,1,8,0
Serine,106.0498724,6.69,7.08,70.2,1,12,0
Glycine,76.039306,6.69,7.09,63.7,1,4,0
Threonine,120.065516,5.82,6.24,61.3,1,8,0
Threonine,120.065516,5.82,6.24,60.2,1,8,0
Threonine,120.065516,5.82,6.24,74.2,1,8,0
Threonine,120.065516,5.82,6.24,56.2,1,16,0
Proline,116.070606,4.95,5.41,70.2,1,16,0
Proline,116.070606,4.95,5.41,43.3,1,36,0
Proline,116.070606,4.95,5.41,84,1,8,0
Valine,118.086256,4.79,5.17,72.2,1,8,0
Valine,118.086256,4.79,5.17,55.2,1,20,0
Valine,118.086256,4.79,5.17,57.2,1,32,0
Valine,118.086256,4.79,5.17,56.2,1,40,0
Isoleucine,132.101906,4.24,4.72,86.2,1,8,0
Isoleucine,132.101906,4.24,4.72,44.2,1,24,0
Isoleucine,132.101906,4.24,4.72,69.2,1,16,0
Isoleucine,132.101906,4.24,4.72,41.2,1,28,0
Leucine,132.101906,3.87,4.23,86.2,1,8,0
Leucine,132.101906,3.87,4.23,44.2,1,24,0
Leucine,132.101906,3.87,4.23,43.2,1,24,0
Leucine,132.101906,3.87,4.23,41.2,1,40,0
Phenylalanine,166.086256,3.22,3.98,120.1,1,8,1
Phenylalanine,166.086256,3.22,3.98,103.1,1,28,1
Phenylalanine,166.086256,3.22,3.98,77.2,1,40,1
Phenylalanine,166.086256,3.22,3.98,91.1,1,40,1
Histidine,156.076756,7.42,9.15,110.1,1,12,0
Histidine,156.076756,7.42,9.15,83.2,1,28,0
Histidine,156.076756,7.42,9.15,93.1,1,24,0
Histidine,156.076756,7.42,9.15,56.2,1,40,0
Arginine,175.118956,11.5,12.2,70.2,1,24,0
Arginine,175.118956,11.5,12.2,60.2,1,12,0
Arginine,175.118956,11.5,12.2,116.1,1,12,0
Arginine,175.118956,11.5,12.2,130.1,1,12,0
Lysine,147.112806,11.13,12,84.2,1,16,0
Lysine,147.112806,11.13,12,130.1,1,4,0
Lysine,147.112806,11.13,12,56.2,1,36,0
Lysine,147.112806,11.13,12,67.2,1,28,0
Cysteine,122.027026,6.99,7.43,59.2,1,24,0
Cysteine,122.027026,6.99,7.43,76.2,1,12,0
Cysteine,122.027026,6.99,7.43,87.1,1,8,0
Cysteine,122.027026,6.99,7.43,105.1,1,8,0
