,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
170,ATP,508.00305,7.98,8.51,1,330.0540000000001,28.88,97,1,35.0,27.66742542375332
171,beta-Alanine,90.05498,6.53,6.99,1,61.012,14.01,32,0,25.0,12.434230705338484
174,CMP-sialic-acid,615.1545675,7.0,7.4,1,323.786,13.21,60,0,10.0,20.323170530109092
175,CMP-sialic-acid,615.1545675,7.0,7.4,1,111.804,30.36,60,0,30.0,28.485824270828985
176,CMP-sialic-acid,615.1545675,7.0,7.4,1,97.196,33.48,60,0,50.0,36.648478011548875
177,cAMP,330.0598197,1.78,3.57,1,136.125,26.61,100,1,40.0,24.96013204037065
178,cAMP,330.0598197,1.78,3.57,1,119.167,53.36,100,1,80.0,41.28543952181044
179,Cystine,241.03115,6.95,7.43,1,152.042,14.39,51,0,20.0,14.421977536643217
180,Cystine,241.03115,6.95,7.43,1,122.054,16.71,51,0,25.0,16.46264097182319
181,Cystine,241.03115,6.95,7.43,1,119.97,20.12,51,0,30.0,18.503304407003164
182,Cytidine,244.0928164,4.5,4.98,1,112.125,14.1,40,0,20.0,14.503670219391172
183,Cytidine,244.0928164,4.5,4.98,1,95.054,40.43,40,0,80.0,38.99163144155085
184,Cytidine,244.0928164,4.5,4.98,1,67.083,50.24,40,0,80.0,38.99163144155085
185,Dopamine,154.0863,10.66,13.26,1,119.024,22.31,46,0,35.0,18.2240684411189
186,Dopamine,154.0863,10.66,13.26,1,137.042,13.89,46,0,20.0,12.102078135578976
190,G1P,261.03702000000004,7.31,8.17,1,99.042,15.91,42,0,10.0,10.87445578332895
192,G1P,261.03702000000004,7.31,8.17,1,145.125,13.72,42,0,10.0,10.87445578332895
193,G1P,261.03702000000004,7.31,8.17,1,225.042,8.58,42,0,10.0,10.87445578332895
194,G1P,261.03702000000004,7.31,8.17,1,127.0,14.94,42,0,20.0,14.955782653688898
195,GABA,104.07063,6.51,7.03,1,87.125,11.49,31,0,10.0,6.686211923592394
196,GABA,104.07063,6.51,7.03,1,69.054,16.58,31,0,30.0,14.848865664312287
199,GN6P,260.053,7.48,8.03,1,126.054,13.85,41,0,20.0,14.929526614272701
200,GN6P,260.053,7.48,8.03,1,206.054,12.46,41,0,10.0,10.848199743912753
201,GN6P,260.053,7.48,8.03,1,224.167,10.39,41,0,10.0,10.848199743912753
202,GN6P,260.053,7.48,8.03,1,242.125,8.07,41,0,10.0,10.848199743912753
203,GN6P,260.053,7.48,8.03,1,108.125,21.05,41,0,30.0,19.010853484632648
204,G6P,261.03702000000004,7.28,8.25,1,243.042,7.36,40,1,50.0,27.19976326476874
205,G6P,261.03702000000004,7.28,8.25,1,127.042,15.28,40,1,20.0,14.955782653688898
206,G6P,261.03702000000004,7.28,8.25,1,99.113,16.5,40,1,10.0,10.87445578332895
207,G6P,261.03702000000004,7.28,8.25,1,225.0,9.55,40,1,10.0,10.87445578332895
208,G6P,261.03702000000004,7.28,8.25,1,109.054,19.49,40,1,30.0,19.037109524048844
209,Glutamine,147.07644,6.37,6.72,1,130.125,10.6,42,0,10.0,7.833711204588134
210,Glutamine,147.07644,6.37,6.72,1,84.036,17.43,42,0,30.0,15.996364945308029
211,Glutamine,147.07644,6.37,6.72,1,56.125,29.26,42,0,60.0,28.240345556387872
212,Guanosine,284.0989664,5.08,5.48,1,152.125,15.19,44,0,25.0,17.61179473390921
213,Guanosine,284.0989664,5.08,5.48,1,135.054,37.81,44,0,70.0,35.977765650528966
214,Guanosine,284.0989664,5.08,5.48,1,110.125,39.5,44,0,70.0,35.977765650528966
215,Histamine,112.0869473,11.17,15.53,1,95.125,15.99,38,0,25.0,13.022097010744002
216,Histamine,112.0869473,11.17,15.53,1,67.946,22.65,38,0,40.0,19.144087316283926
217,Histidine,156.07678,7.42,9.15,1,110.125,15.03,46,0,20.0,12.15518896801851
218,Histidine,156.07678,7.42,9.15,1,93.196,24.84,46,0,50.0,24.399169579098352
219,Histidine,156.07678,7.42,9.15,1,83.125,25.77,46,0,50.0,24.399169579098352
