,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
166,ATP,508.00305,7.98,8.51,1,410.05400000000003,18.69,97,1,20.0,21.54543511821339
167,ATP,508.00305,7.98,8.51,1,136.25,33.26,97,1,50.0,33.78941572929324
168,ATP,508.00305,7.98,8.51,1,348.05400000000003,17.76,97,1,20.0,21.54543511821339
169,ATP,508.00305,7.98,8.51,1,428.05400000000003,21.26,97,1,20.0,21.54543511821339
170,ATP,508.00305,7.98,8.51,1,330.05400000000003,28.88,97,1,35.0,27.667425423753315
171,beta-Alanine,90.05498,6.53,6.99,1,61.012,14.01,32,0,25.0,12.434230705338486
174,CMP-sialic-acid,615.1545675,7.0,7.4,1,323.786,13.21,60,0,10.0,20.323170530109085
175,CMP-sialic-acid,615.1545675,7.0,7.4,1,111.804,30.36,60,0,30.0,28.48582427082898
176,CMP-sialic-acid,615.1545675,7.0,7.4,1,97.196,33.48,60,0,50.0,36.648478011548875
177,cAMP,330.0598197,1.78,3.57,1,136.125,26.61,100,1,40.0,24.96013204037065
178,cAMP,330.0598197,1.78,3.57,1,119.167,53.36,100,1,80.0,41.28543952181044
179,Cystine,241.03115,6.95,7.43,1,152.042,14.39,51,0,20.0,14.421977536643217
180,Cystine,241.03115,6.95,7.43,1,122.054,16.71,51,0,25.0,16.46264097182319
181,Cystine,241.03115,6.95,7.43,1,119.97,20.12,51,0,30.0,18.503304407003164
182,Cytidine,244.09281639999998,4.5,4.98,1,112.125,14.1,40,0,20.0,14.503670219391172
183,Cytidine,244.09281639999998,4.5,4.98,1,95.054,40.43,40,0,80.0,38.99163144155086
184,Cytidine,244.09281639999998,4.5,4.98,1,67.083,50.24,40,0,80.0,38.99163144155086
185,Dopamine,154.0863,10.66,13.26,1,119.024,22.31,46,0,35.0,18.2240684411189
186,Dopamine,154.0863,10.66,13.26,1,137.042,13.89,46,0,20.0,12.102078135578978
190,G1P,261.03702000000004,7.31,8.17,1,99.042,15.91,42,0,10.0,10.87445578332895
192,G1P,261.03702000000004,7.31,8.17,1,145.125,13.72,42,0,10.0,10.87445578332895
193,G1P,261.03702000000004,7.31,8.17,1,225.042,8.58,42,0,10.0,10.87445578332895
194,G1P,261.03702000000004,7.31,8.17,1,127.0,14.94,42,0,20.0,14.955782653688898
195,GABA,104.07063000000001,6.51,7.03,1,87.125,11.49,31,0,10.0,6.686211923592395
196,GABA,104.07063000000001,6.51,7.03,1,69.054,16.58,31,0,30.0,14.84886566431229
199,GN6P,260.053,7.48,8.03,1,126.054,13.85,41,0,20.0,14.929526614272701
200,GN6P,260.053,7.48,8.03,1,206.054,12.46,41,0,10.0,10.848199743912753
201,GN6P,260.053,7.48,8.03,1,224.167,10.39,41,0,10.0,10.848199743912753
202,GN6P,260.053,7.48,8.03,1,242.125,8.07,41,0,10.0,10.848199743912753
203,GN6P,260.053,7.48,8.03,1,108.125,21.05,41,0,30.0,19.010853484632648
204,G6P,261.03702000000004,7.28,8.25,1,243.042,7.36,40,1,50.0,27.19976326476874
205,G6P,261.03702000000004,7.28,8.25,1,127.042,15.28,40,1,20.0,14.955782653688898
206,G6P,261.03702000000004,7.28,8.25,1,99.113,16.5,40,1,10.0,10.87445578332895
207,G6P,261.03702000000004,7.28,8.25,1,225.0,9.55,40,1,10.0,10.87445578332895
208,G6P,261.03702000000004,7.28,8.25,1,109.054,19.49,40,1,30.0,19.037109524048844
209,Glutamine,147.07644,6.37,6.72,1,130.125,10.6,42,0,10.0,7.833711204588134
210,Glutamine,147.07644,6.37,6.72,1,84.036,17.43,42,0,30.0,15.996364945308029
211,Glutamine,147.07644,6.37,6.72,1,56.125,29.26,42,0,60.0,28.240345556387872
212,Guanosine,284.0989664,5.08,5.48,1,152.125,15.19,44,0,25.0,17.611794733909207
213,Guanosine,284.0989664,5.08,5.48,1,135.054,37.81,44,0,70.0,35.97776565052897
214,Guanosine,284.0989664,5.08,5.48,1,110.125,39.5,44,0,70.0,35.97776565052897
215,Histamine,112.0869473,11.17,15.53,1,95.125,15.99,38,0,25.0,13.022097010744003
216,Histamine,112.0869473,11.17,15.53,1,67.946,22.65,38,0,40.0,19.144087316283922
217,Histidine,156.07678,7.42,9.15,1,110.125,15.03,46,0,20.0,12.155188968018512
218,Histidine,156.07678,7.42,9.15,1,93.196,24.84,46,0,50.0,24.399169579098356
219,Histidine,156.07678,7.42,9.15,1,83.125,25.77,46,0,50.0,24.399169579098356
220,Homocystine,269.06245,7.06,7.53,1,136.125,11.19,41,0,10.0,11.08859371387093
221,Homocystine,269.06245,7.06,7.53,1,134.054,15.78,41,0,20.0,15.169920584230878
222,Homocystine,269.06245,7.06,7.53,1,88.125,32.97,41,0,60.0,31.49522806567067
223,Isoleucine,132.10193,4.24,4.72,1,69.125,17.89,32,0,35.0,17.637472147079922
224,Isoleucine,132.10193,4.24,4.72,1,56.053999999999995,38.24,32,0,80.0,36.00344306369969
226,Leucine,132.10193,3.87,4.23,1,86.196,10.94,33,0,20.0,11.515481841540003
229,Methionine,150.05835,4.3,4.84,1,133.054,10.39,34,0,10.0,7.913275793209857
230,Methionine,150.05835,4.3,4.84,1,104.125,11.36,34,0,10.0,7.913275793209857
231,Methionine,150.05835,4.3,4.84,1,56.196000000000005,17.68,34,0,30.0,16.075929533929752
232,N-Acetyl-GN1P,302.06356760000006,6.59,7.07,1,204.071,8.03,64,0,10.0,11.969143544650908
233,N-Acetyl-GN1P,302.06356760000006,6.59,7.07,1,137.786,22.69,64,0,40.0,24.21312415573075
234,N-Acetyl-GN1P,302.06356760000006,6.59,7.07,1,144.095,25.68,64,0,30.0,20.1317972853708
235,N-Acetyl-MN,222.09724,4.5,5.17,1,138.175,17.51,30,0,20.0,13.916774911429599
236,N-Acetyl-MN,222.09724,4.5,5.17,1,204.208,7.57,30,0,10.0,9.83544804106965
237,N-Acetyl-MN,222.09724,4.5,5.17,1,84.125,22.86,30,0,40.0,22.079428652149495
238,N-Acetyl-MN,222.09724,4.5,5.17,1,186.208,9.68,30,0,10.0,9.83544804106965
239,N-Acety-MN6P,302.0636,6.59,7.07,1,284.125,9.89,42,0,10.0,11.969144409161462
240,N-Acety-MN6P,302.0636,6.59,7.07,1,206.024,19.95,42,0,30.0,20.131798149881355
241,N-Acety-MN6P,302.0636,6.59,7.07,1,126.054,21.64,42,0,40.0,24.213125020241304
242,N-Acety-MN6P,302.0636,6.59,7.07,1,248.0,14.77,42,0,20.0,16.050471279521407
243,NANA,310.11328,5.17,5.65,1,292.20799999999997,8.79,47,0,10.0,12.18392938849904
244,NANA,310.11328,5.17,5.65,1,274.20799999999997,11.11,47,0,10.0,12.18392938849904
245,NANA,310.11328,5.17,5.65,1,121.054,25.39,47,0,40.0,24.427909999578883
249,Phenylalanine,166.08628000000002,3.22,3.98,1,120.125,14.39,36,1,20.0,12.422266696658593
250,Phenylalanine,166.08628000000002,3.22,3.98,1,103.125,28.04,36,1,50.0,24.666247307738434
251,Phenylalanine,166.08628000000002,3.22,3.98,1,77.196,39.33,36,1,80.0,36.91022791881828
252,Proline,116.07063000000001,4.95,5.41,1,70.175,16.08,37,0,40.0,19.25038162940034
