,Unnamed: 0,Unnamed: 0.1,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity,Ion type
206,206,48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1,55.05,24.66722223016703,316999.71312957624,Qual 1
207,207,48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1,73.06,16.504568489447134,167658.70424543822,Qual 2
208,208,48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1,93.06,36.91120284124688,105888.66521449908,Qual 3
209,209,48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1,96.04,32.82987597088693,86035.56980377018,Qual 4
210,210,554,Compound 555,155.0815582,2.071273513,2.228883419,1,95.06,24.372614648498715,7787.26749167708,Quant
211,211,554,Compound 555,155.0815582,2.071273513,2.228883419,1,137.07,14.169297472598846,7416.290116571674,Qual 1
212,212,554,Compound 555,155.0815582,2.071273513,2.228883419,1,137.11,16.209960907778818,5010.740829053556,Qual 2
213,213,554,Compound 555,155.0815582,2.071273513,2.228883419,1,68.05,24.372614648498715,2340.522542450927,Qual 3
214,214,554,Compound 555,155.0815582,2.071273513,2.228883419,1,82.07,18.250624342958798,2094.0320469481744,Qual 4
215,215,50,Compound 51,170.0925446,5.26735002,5.551487454,1,96.07,20.69181729033809,281978.9737064521,Quant
216,216,50,Compound 51,170.0925446,5.26735002,5.551487454,1,95.06,32.93579790141793,193994.49580071948,Qual 1
217,217,50,Compound 51,170.0925446,5.26735002,5.551487454,1,109.08,14.569826984798171,139394.55156136767,Qual 2
218,218,50,Compound 51,170.0925446,5.26735002,5.551487454,1,126.1,12.529163549618197,71520.65468129657,Qual 3
219,219,50,Compound 51,170.0925446,5.26735002,5.551487454,1,68.05,37.01712477177788,70622.9151935253,Qual 4
220,220,51,Compound 52,169.0357056,5.206352125,5.376749786,1,141.04,16.582291393087868,103968.72366438212,Quant
221,221,51,Compound 52,169.0357056,5.206352125,5.376749786,1,96.02,24.744945133807764,60623.63437225037,Qual 1
222,222,51,Compound 52,169.0357056,5.206352125,5.376749786,1,70.04,24.744945133807764,53478.28650125927,Qual 2
223,223,51,Compound 52,169.0357056,5.206352125,5.376749786,1,152.01,16.582291393087868,51944.569860307645,Qual 3
