,Unnamed: 0,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity
2888,856,Compound 810,507.22500610000014,1.694840652,1.863054195,-1,287.2,33.7686556316266,104501.48763113654
2889,856,Compound 810,507.22500610000014,1.694840652,1.863054195,-1,331.19,25.6060018909067,31296.78384744336
2890,856,Compound 810,507.22500610000014,1.694840652,1.863054195,-1,463.23,25.6060018909067,20022.561370371954
2891,856,Compound 810,507.22500610000014,1.694840652,1.863054195,-1,173.49,27.646665326086676,18043.133958581224
2892,856,Compound 810,507.22500610000014,1.694840652,1.863054195,-1,173.48,41.9313093723465,17468.528196467545
2893,857,Compound 811,176.93589780000005,7.190378979,7.571352179,-1,78.96,20.874414545839148,98238.29587945306
2894,857,Compound 811,176.93589780000005,7.190378979,7.571352179,-1,158.93,12.711760805119255,24464.151946152466
2895,857,Compound 811,176.93589780000005,7.190378979,7.571352179,-1,78.95,12.711760805119255,2736.459844873764
2896,857,Compound 811,176.93589780000005,7.190378979,7.571352179,-1,62.96,37.199722027278945,1181.6422535778736
2897,857,Compound 811,176.93589780000005,7.190378979,7.571352179,-1,58.83,16.7930876754792,963.7457490499158
2898,859,Compound 812,612.7962646000002,13.07677112,13.59217921,-1,400.87,32.50422590196846,335556.191151905
2899,859,Compound 812,612.7962646000002,13.07677112,13.59217921,-1,188.94,48.829533383408254,250997.2408940128
2900,859,Compound 812,612.7962646000002,13.07677112,13.59217921,-1,506.83,28.422899031608516,227219.23628694247
2901,859,Compound 812,612.7962646000002,13.07677112,13.59217921,-1,294.9,40.66687964268836,169038.03389926933
2902,859,Compound 812,612.7962646000002,13.07677112,13.59217921,-1,206.95,48.829533383408254,78376.65974544344
2903,860,Compound 813,129.01925659999998,5.94779229,6.648660582000001,-1,57.03,7.351901770739353,14118.985894488234
2904,860,Compound 813,129.01925659999998,5.94779229,6.648660582000001,-1,67.02,11.433228641099301,7526.132386194455
2905,860,Compound 813,129.01925659999998,5.94779229,6.648660582000001,-1,85.03,7.351901770739353,3193.0138399802654
2906,860,Compound 813,129.01925659999998,5.94779229,6.648660582000001,-1,51.65,15.51455551145925,1539.6092917154106
2907,860,Compound 813,129.01925659999998,5.94779229,6.648660582000001,-1,87.58,15.51455551145925,1441.2754791529587
2908,863,Compound 816,92.02540588,3.068688524,3.65984322,-1,75.99,12.486806445233988,12982.100874594516
2909,863,Compound 816,92.02540588,3.068688524,3.65984322,-1,60.97,22.690123621133857,10956.29192531797
2910,863,Compound 816,92.02540588,3.068688524,3.65984322,-1,65.01,12.486806445233988,5300.946487002885
2911,863,Compound 816,92.02540588,3.068688524,3.65984322,-1,59.97,26.771450491493805,5045.881684776285
2912,863,Compound 816,92.02540588,3.068688524,3.65984322,-1,74.99,10.446143010054014,3353.2346428898773
2913,864,Compound 817,133.0505524,2.532107015,3.044468733,-1,87.04,11.54079338716457,49648.86089200057
2914,864,Compound 817,133.0505524,2.532107015,3.044468733,-1,57.03,15.622120257524518,28241.967057254027
2915,864,Compound 817,133.0505524,2.532107015,3.044468733,-1,69.03,13.581456822344544,4654.944584381867
2916,864,Compound 817,133.0505524,2.532107015,3.044468733,-1,87.05,7.459466516804621,4087.9639695338333
2917,864,Compound 817,133.0505524,2.532107015,3.044468733,-1,85.03,11.54079338716457,3477.260625503165
2918,868,Compound 821,350.8696289,13.40633599,13.62620497,-1,188.94,25.515388204471698,62512.06122389074
2919,868,Compound 821,350.8696289,13.40633599,13.62620497,-1,294.9,17.3527344637518,38011.05263219888
2920,868,Compound 821,350.8696289,13.40633599,13.62620497,-1,310.88,17.3527344637518,27843.750529736637
2921,868,Compound 821,350.8696289,13.40633599,13.62620497,-1,206.95,25.515388204471698,20485.754430970683
2922,868,Compound 821,350.8696289,13.40633599,13.62620497,-1,312.91,19.393397898931777,15632.78074462861
2923,869,Compound 822,660.0704346,6.820114718999998,6.848589999,-1,291.08,21.521634765582156,19855.8663558724
2924,869,Compound 822,660.0704346,6.820114718999998,6.848589999,-1,526.09,33.765615376662,8038.922810710216
2925,869,Compound 822,660.0704346,6.820114718999998,6.848589999,-1,292.09,21.521634765582156,6418.06833416705
2926,869,Compound 822,660.0704346,6.820114718999998,6.848589999,-1,512.07,33.765615376662,5608.287684241319
2927,869,Compound 822,660.0704346,6.820114718999998,6.848589999,-1,642.06,31.724951941482026,5339.6383298511655
2928,870,Compound 823,188.9393311,0.503807019,0.682815726,-1,57.0,17.113368378975547,10566.588617501766
2929,870,Compound 823,188.9393311,0.503807019,0.682815726,-1,59.98,29.357348990055392,9564.884125705006
2930,870,Compound 823,188.9393311,0.503807019,0.682815726,-1,162.96,8.950714638255654,1574.9690853209613
2931,870,Compound 823,188.9393311,0.503807019,0.682815726,-1,173.48,33.438675860415344,1522.9144754441784
